time,latitude,longitude,analysed_sst,analysis_error
UTC,degrees_north,degrees_east,degree_C,degree_C
2016-06-08T09:00:00Z,32.1,-77.09,28.429000000000002,0.37
2016-06-08T09:00:00Z,32.1,-77.08,28.371,0.37
2016-06-08T09:00:00Z,32.11,-77.1,28.489,0.37
2016-06-08T09:00:00Z,32.11,-77.09,28.422,0.37
2016-06-08T09:00:00Z,32.11,-77.08,28.36,0.37
2016-06-08T09:00:00Z,32.12,-77.1,28.499,0.37
2016-06-08T09:00:00Z,32.12,-77.09,28.427,0.37
2016-06-08T09:00:00Z,32.12,-77.08,28.361,0.37
2016-06-09T09:00:00Z,32.1,-77.1,28.204,0.37
2016-06-09T09:00:00Z,32.1,-77.09,28.126,0.37
2016-06-09T09:00:00Z,32.1,-77.08,28.083,0.37
2016-06-09T09:00:00Z,32.11,-77.1,28.255,0.37
2016-06-09T09:00:00Z,32.11,-77.09,28.169,0.37
2016-06-09T09:00:00Z,32.11,-77.08,28.118,0.37
2016-06-09T09:00:00Z,32.12,-77.1,28.336,0.37
2016-06-09T09:00:00Z,32.12,-77.09,28.239,0.37
2016-06-09T09:00:00Z,32.12,-77.08,28.174,0.37
2016-06-10T09:00:00Z,32.1,-77.1,28.453,0.38
2016-06-10T09:00:00Z,32.1,-77.09,28.395,0.38
2016-06-10T09:00:00Z,32.1,-77.08,28.352,0.38
2016-06-10T09:00:00Z,32.11,-77.1,28.474,0.38
2016-06-10T09:00:00Z,32.11,-77.09,28.415,0.38
2016-06-10T09:00:00Z,32.11,-77.08,28.37,0.38
2016-06-10T09:00:00Z,32.12,-77.1,28.502,0.38
2016-06-10T09:00:00Z,32.12,-77.09,28.441,0.38
2016-06-10T09:00:00Z,32.12,-77.08,28.394,0.38
2016-06-11T09:00:00Z,32.1,-77.1,28.972,0.38
2016-06-11T09:00:00Z,32.1,-77.09,28.869,0.38
2016-06-11T09:00:00Z,32.1,-77.08,28.758,0.38
2016-06-11T09:00:00Z,32.11,-77.1,29.019,0.38
2016-06-11T09:00:00Z,32.11,-77.09,28.934,0.38
2016-06-11T09:00:00Z,32.11,-77.08,28.841,0.38
2016-06-11T09:00:00Z,32.12,-77.1,29.064,0.38
2016-06-11T09:00:00Z,32.12,-77.09,28.994,0.38
2016-06-11T09:00:00Z,32.12,-77.08,28.915,0.38
2016-06-12T09:00:00Z,32.1,-77.1,29.036,0.38
2016-06-12T09:00:00Z,32.1,-77.09,29.024,0.38
2016-06-12T09:00:00Z,32.1,-77.08,28.990000000000002,0.38
2016-06-12T09:00:00Z,32.11,-77.1,29.03,0.38
2016-06-12T09:00:00Z,32.11,-77.09,29.034,0.38
2016-06-12T09:00:00Z,32.11,-77.08,29.009999999999998,0.38
2016-06-12T09:00:00Z,32.12,-77.1,29.034,0.38
2016-06-12T09:00:00Z,32.12,-77.09,29.051000000000002,0.38
2016-06-12T09:00:00Z,32.12,-77.08,29.035,0.38
2016-06-13T09:00:00Z,32.1,-77.1,28.484,0.38
2016-06-13T09:00:00Z,32.1,-77.09,28.52,0.38
2016-06-13T09:00:00Z,32.1,-77.08,28.553,0.38
